track_id,song_id,artist_id,artist_name,song_title,genre,top1_genre_dot,top2_genre_dot,top3_genre_dot,top1_genre_cov,top2_genre_cov,top3_genre_cov,top1_genre_corr,top2_genre_corr,top3_genre_corr,top1_genre_cosine,top2_genre_cosine,top3_genre_cosine
TRVYEUW128F148C08D,SOFCCWD12AF72A6BC0,ARXPPEY1187FB51DF4,Michael Jackson,All The Things You Are,blues,r&b/soul,hip hop,electronic,r&b/soul,hip hop,electronic,jazz,jazz,rock,jazz,jazz,rock
TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,blues,hip hop,r&b/soul,r&b/soul,r&b/soul,hip hop,hip hop,punk,rock,hip hop,punk,rock,hip hop
TRMMALW128F92FD049,SOVUCRS12A58A7D207,ARZENOX1187B98A645,John Mayer,Out Of My Mind,blues,r&b/soul,hip hop,hip hop,r&b/soul,hip hop,hip hop,hip hop,electronic,metal,hip hop,electronic,metal
TRJWAJC128F9327C4F,SORMDVX12AB01816AA,ARLMXEA1187B9A7D04,R. Kelly,Hump Bounce,blues,r&b/soul,hip hop,r&b/soul,r&b/soul,hip hop,r&b/soul,blues,pop,pop,blues,pop,pop
TRPEBTH128F9327C4D,SOYTJAC12AF729F49D,ARLMXEA1187B9A7D04,R. Kelly,Intro - The Sermon,blues,r&b/soul,hip hop,hip hop,r&b/soul,hip hop,hip hop,blues,hip hop,hip hop,hip hop,blues,hip hop
TRNWHUD128F932E304,SOXUKQZ12AB01860EE,ARXPPEY1187FB51DF4,Michael Jackson,Call On Me,blues,r&b/soul,hip hop,hip hop,r&b/soul,hip hop,r&b/soul,rock,rock,blues,rock,rock,blues
TRFGGSX128F427A723,SOIBZAN12D02191BAF,ARS8GNX1187B9B5141,The Black Keys,Oceans and Streams,blues,r&b/soul,hip hop,hip hop,r&b/soul,hip hop,hip hop,hip hop,reggae,pop,hip hop,reggae,pop
TRPTCMZ128F9340B09,SOLKOOO12AB018794A,ARS8GNX1187B9B5141,The Black Keys,10 A.M. Automatic,blues,r&b/soul,hip hop,pop,r&b/soul,hip hop,pop,metal,jazz,r&b/soul,metal,jazz,r&b/soul
TRVKLGW12903CB4523,SOZCSPA12AB0185672,ARS8GNX1187B9B5141,The Black Keys,Aeroplane Blues,blues,r&b/soul,hip hop,r&b/soul,r&b/soul,hip hop,r&b/soul,country,electronic,pop,country,electronic,pop
TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,blues,r&b/soul,hip hop,pop,r&b/soul,hip hop,hip hop,r&b/soul,folk,rock,folk,r&b/soul,rock
TRBYDKJ12903CA9D33,SOTXSMC12AB0182217,ARS8GNX1187B9B5141,The Black Keys,Black Door,blues,r&b/soul,r&b/soul,r&b/soul,r&b/soul,r&b/soul,r&b/soul,r&b/soul,electronic,electronic,r&b/soul,electronic,electronic
TRWJKJK128F9338FEF,SOIFDQD12AB01822F5,ARS8GNX1187B9B5141,The Black Keys,Busted,blues,r&b/soul,hip hop,r&b/soul,r&b/soul,hip hop,r&b/soul,hip hop,punk,punk,hip hop,punk,punk
TRUULBP12903CA9D23,SORMOIW12AB01887F0,ARS8GNX1187B9B5141,The Black Keys,Give Your Heart Away,blues,r&b/soul,pop,hip hop,pop,r&b/soul,hip hop,pop,country,r&b/soul,pop,country,r&b/soul
TRYYJHJ128F9340B19,SOKGVJH12A58A77920,ARS8GNX1187B9B5141,The Black Keys,Grown So Ugly,blues,r&b/soul,hip hop,hip hop,r&b/soul,hip hop,hip hop,blues,blues,metal,blues,metal,jazz
TRHHJCL12903CB44B7,SOFRWHG12A58A7DF46,ARS8GNX1187B9B5141,The Black Keys,Hard Row,blues,r&b/soul,hip hop,pop,r&b/soul,hip hop,pop,reggae,metal,metal,reggae,metal,metal
TRWZXDS128F427A71B,SOAJJDS12A8C13A3FB,ARS8GNX1187B9B5141,The Black Keys,I Got Mine,blues,r&b/soul,hip hop,r&b/soul,r&b/soul,r&b/soul,hip hop,blues,pop,pop,blues,pop,pop
TRZDLWE12903CB44DE,SOURIRH12A58A7B408,ARS8GNX1187B9B5141,The Black Keys,If You See Me,blues,hip hop,r&b/soul,r&b/soul,hip hop,r&b/soul,r&b/soul,pop,pop,r&b/soul,pop,pop,r&b/soul
TRNZQVO128F427A71E,SOIQUSV12A8C13A402,ARS8GNX1187B9B5141,The Black Keys,Lies,blues,r&b/soul,hip hop,hip hop,r&b/soul,hip hop,hip hop,electronic,electronic,folk,electronic,electronic,folk
TRAECHJ12903CC36DA,SOCQQSU12AB0185BF4,ARS8GNX1187B9B5141,The Black Keys,Next Girl,blues,hip hop,electronic,hip hop,hip hop,electronic,hip hop,r&b/soul,electronic,blues,r&b/soul,electronic,blues
