track_id,song_id,artist_id,artist_name,song_title,genre,top1_genre_dot,top2_genre_dot,top3_genre_dot,top1_genre_cov,top2_genre_cov,top3_genre_cov,top1_genre_corr,top2_genre_corr,top3_genre_corr,top1_genre_cosine,top2_genre_cosine,top3_genre_cosine
TRVYEUW128F148C08D,SOFCCWD12AF72A6BC0,ARXPPEY1187FB51DF4,Michael Jackson,All The Things You Are,blues,pop,hip hop,pop,pop,pop,pop,blues,jazz,pop,blues,jazz,pop
TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,blues,r&b/soul,hip hop,hip hop,reggae,hip hop,r&b/soul,r&b/soul,reggae,reggae,reggae,r&b/soul,reggae
TRMMALW128F92FD049,SOVUCRS12A58A7D207,ARZENOX1187B98A645,John Mayer,Out Of My Mind,blues,r&b/soul,hip hop,hip hop,hip hop,r&b/soul,hip hop,rock,rock,rock,rock,hip hop,country
TRJWAJC128F9327C4F,SORMDVX12AB01816AA,ARLMXEA1187B9A7D04,R. Kelly,Hump Bounce,blues,hip hop,hip hop,hip hop,hip hop,hip hop,hip hop,punk,country,punk,punk,country,reggae
TRPEBTH128F9327C4D,SOYTJAC12AF729F49D,ARLMXEA1187B9A7D04,R. Kelly,Intro - The Sermon,blues,r&b/soul,pop,hip hop,pop,r&b/soul,hip hop,pop,hip hop,folk,hip hop,r&b/soul,pop
TRNWHUD128F932E304,SOXUKQZ12AB01860EE,ARXPPEY1187FB51DF4,Michael Jackson,Call On Me,blues,r&b/soul,hip hop,r&b/soul,r&b/soul,r&b/soul,r&b/soul,r&b/soul,r&b/soul,folk,r&b/soul,r&b/soul,folk
TRFGGSX128F427A723,SOIBZAN12D02191BAF,ARS8GNX1187B9B5141,The Black Keys,Oceans and Streams,blues,hip hop,pop,hip hop,pop,r&b/soul,punk,metal,r&b/soul,r&b/soul,metal,r&b/soul,r&b/soul
TRPTCMZ128F9340B09,SOLKOOO12AB018794A,ARS8GNX1187B9B5141,The Black Keys,10 A.M. Automatic,blues,r&b/soul,hip hop,hip hop,hip hop,r&b/soul,r&b/soul,r&b/soul,blues,r&b/soul,r&b/soul,blues,r&b/soul
TRVKLGW12903CB4523,SOZCSPA12AB0185672,ARS8GNX1187B9B5141,The Black Keys,Aeroplane Blues,blues,hip hop,hip hop,hip hop,metal,reggae,hip hop,reggae,reggae,rock,reggae,reggae,folk
TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,blues,r&b/soul,r&b/soul,hip hop,r&b/soul,r&b/soul,metal,punk,r&b/soul,punk,punk,r&b/soul,punk
TRBYDKJ12903CA9D33,SOTXSMC12AB0182217,ARS8GNX1187B9B5141,The Black Keys,Black Door,blues,hip hop,pop,rock,hip hop,pop,rock,rock,r&b/soul,punk,rock,hip hop,r&b/soul
TRWJKJK128F9338FEF,SOIFDQD12AB01822F5,ARS8GNX1187B9B5141,The Black Keys,Busted,blues,hip hop,r&b/soul,hip hop,r&b/soul,hip hop,hip hop,punk,r&b/soul,reggae,r&b/soul,punk,pop
TRUULBP12903CA9D23,SORMOIW12AB01887F0,ARS8GNX1187B9B5141,The Black Keys,Give Your Heart Away,blues,pop,r&b/soul,hip hop,pop,r&b/soul,r&b/soul,r&b/soul,pop,electronic,r&b/soul,pop,pop
TRYYJHJ128F9340B19,SOKGVJH12A58A77920,ARS8GNX1187B9B5141,The Black Keys,Grown So Ugly,blues,r&b/soul,hip hop,hip hop,hip hop,blues,r&b/soul,blues,blues,hip hop,blues,blues,hip hop
TRHHJCL12903CB44B7,SOFRWHG12A58A7DF46,ARS8GNX1187B9B5141,The Black Keys,Hard Row,blues,pop,hip hop,country,pop,hip hop,r&b/soul,r&b/soul,jazz,jazz,r&b/soul,jazz,jazz
TRWZXDS128F427A71B,SOAJJDS12A8C13A3FB,ARS8GNX1187B9B5141,The Black Keys,I Got Mine,blues,electronic,hip hop,hip hop,electronic,jazz,r&b/soul,folk,jazz,blues,folk,jazz,blues
TRZDLWE12903CB44DE,SOURIRH12A58A7B408,ARS8GNX1187B9B5141,The Black Keys,If You See Me,blues,pop,hip hop,hip hop,pop,pop,hip hop,pop,country,blues,pop,country,reggae
TRNZQVO128F427A71E,SOIQUSV12A8C13A402,ARS8GNX1187B9B5141,The Black Keys,Lies,blues,hip hop,r&b/soul,hip hop,hip hop,blues,metal,punk,pop,metal,metal,punk,electronic
TRAECHJ12903CC36DA,SOCQQSU12AB0185BF4,ARS8GNX1187B9B5141,The Black Keys,Next Girl,blues,hip hop,hip hop,r&b/soul,hip hop,latin,hip hop,jazz,classical,jazz,jazz,classical,jazz
TRRVSIN128F9338FD5,SOSICNK12AB01876BB,ARS8GNX1187B9B5141,The Black Keys,No Fun,blues,punk,pop,hip hop,punk,pop,punk,punk,electronic,punk,punk,electronic,punk
TRYMMVG128F9340B1B,SOHKBXW12AB0185660,ARS8GNX1187B9B5141,The Black Keys,Stack Shot Billy,blues,blues,hip hop,hip hop,blues,punk,folk,punk,folk,folk,punk,folk,blues
TRKSEEY12903CCD312,SOTEPSZ12AB018C99D,ARS8GNX1187B9B5141,The Black Keys,Ten Cent Pistol,blues,hip hop,hip hop,r&b/soul,hip hop,hip hop,pop,metal,country,jazz,country,country,metal
TRFOGQC12903CA9D2E,SOTDIMP12AB01821E8,ARS8GNX1187B9B5141,The Black Keys,The Flame,blues,r&b/soul,hip hop,country,country,blues,pop,blues,country,jazz,blues,country,jazz
TREVCQU12903CCD318,SOGECRB12AB018C9AB,ARS8GNX1187B9B5141,The Black Keys,These Days,blues,r&b/soul,hip hop,jazz,jazz,r&b/soul,pop,jazz,folk,metal,jazz,folk,classical
TRFLJNE12903CB44F1,SOBJBEU12AF729D526,ARS8GNX1187B9B5141,The Black Keys,When The Lights Go Out,blues,hip hop,r&b/soul,r&b/soul,r&b/soul,r&b/soul,r&b/soul,r&b/soul,rock,pop,r&b/soul,rock,punk
TRQNNKX12903CB44CA,SOCULJG12A8AE4714D,ARS8GNX1187B9B5141,The Black Keys,Have Love Will Travel,blues,hip hop,hip hop,hip hop,hip hop,hip hop,hip hop,r&b/soul,country,reggae,r&b/soul,country,reggae
TRKNKGC128F42A746A,SOUZEJD12D021B5336,AR20CFC1187B98A25D,Ray Charles,C.C. Rider,blues,hip hop,metal,hip hop,pop,reggae,blues,pop,blues,pop,pop,blues,rock
TRWEHQE128F935A2D6,SOKQSDH12AB0188B1A,AR20CFC1187B98A25D,Ray Charles,I Got a Woman,blues,hip hop,reggae,r&b/soul,blues,r&b/soul,reggae,blues,blues,jazz,blues,blues,jazz
TRPMJOK128F92F317A,SOQWJXH12AAF3B5B0F,AR20CFC1187B98A25D,Ray Charles,The Sun's Gonna Shine Again,blues,country,hip hop,hip hop,country,electronic,reggae,country,electronic,country,country,electronic,country
TRGXECP12903CDDC43,SOCLEEQ12D021B23E0,AR20CFC1187B98A25D,Ray Charles,Losing Hand,blues,r&b/soul,r&b/soul,hip hop,r&b/soul,r&b/soul,r&b/soul,r&b/soul,r&b/soul,r&b/soul,r&b/soul,r&b/soul,r&b/soul
TREQYGT128E07859FA,SOZOJBP12A6701E425,ARV9LSS1187B98C471,Blake Shelton,Nobody But Me (Album Version),blues,r&b/soul,hip hop,r&b/soul,r&b/soul,blues,r&b/soul,r&b/soul,pop,jazz,r&b/soul,pop,jazz
TROFEVE12903CD8AAA,SONQLUB12D02199FCD,AR66H0N1187B9AE91E,Etta James,A Sunday Kind of Love,blues,hip hop,r&b/soul,r&b/soul,r&b/soul,hip hop,rock,r&b/soul,rock,reggae,r&b/soul,rock,reggae
TRCFPJF128F428A872,SOKCCML12D021B0FC6,AR66H0N1187B9AE91E,Etta James,I Just Want To Make Love To You,blues,r&b/soul,jazz,reggae,jazz,blues,r&b/soul,blues,folk,r&b/soul,blues,folk,r&b/soul
TRBFTHL128C7196B42,SODJRCC12D02192374,AR66H0N1187B9AE91E,Etta James,My Dearest Darling,blues,hip hop,reggae,r&b/soul,hip hop,reggae,folk,reggae,reggae,r&b/soul,reggae,reggae,r&b/soul
TRFEGGQ128E07898AA,SOMPSXS12D021B12D7,AR66H0N1187B9AE91E,Etta James,W.O.M.A.N.,blues,reggae,blues,country,reggae,country,blues,electronic,blues,blues,blues,electronic,blues
TRDDDDX128E0793212,SOIOOIR12A58A7EBB8,ARLAUED1187B9ACEAF,Eric Clapton,Alberta,blues,r&b/soul,country,hip hop,r&b/soul,country,r&b/soul,country,r&b/soul,r&b/soul,country,r&b/soul,r&b/soul
TRWBAGY128F93034BF,SOXIVQT12AB0181061,ARLAUED1187B9ACEAF,Eric Clapton,Before You Accuse Me (Take A Look At Yourself),blues,blues,hip hop,r&b/soul,blues,hip hop,hip hop,blues,reggae,folk,blues,reggae,country
TRLWIBC128E0792E2C,SORMUAO12A6D4F9262,ARLAUED1187B9ACEAF,Eric Clapton,Early In The Morning,blues,hip hop,hip hop,hip hop,r&b/soul,r&b/soul,r&b/soul,blues,folk,blues,blues,folk,blues
TRAZQIG128F146372E,SOFZYKR12A6D4F72A5,ARLAUED1187B9ACEAF,Eric Clapton,Floating Bridge,blues,hip hop,r&b/soul,pop,pop,blues,r&b/soul,blues,blues,punk,blues,punk,blues
TRQUJCP128F4238206,SOICNJH12A81C22263,ARLAUED1187B9ACEAF,Eric Clapton,Kind Hearted Woman Blues (Album Version),blues,blues,r&b/soul,r&b/soul,blues,r&b/soul,r&b/soul,blues,blues,blues,blues,blues,blues
TRIDJMD128E078B984,SOWGAGY12A6701F305,ARN0YZ71187B9BA57B,Michael Bublé,That's All (Album Version),classical,r&b/soul,metal,hip hop,pop,r&b/soul,pop,pop,punk,country,pop,country,punk
TRYRCXF128F424183D,SOWXYFO12A8AE46AD3,ARGVJPK1187B9909EA,Josh Groban,America (Revised Live Version),classical,hip hop,folk,r&b/soul,folk,hip hop,folk,folk,folk,rock,folk,folk,rock
